feedback_code,feedback_description,position,component_tag,type,nature,component_description,content,status,error_tag,error_description,task_types,exercises
AP_FB_a769dedb,exercise | FO_1.1.1.2 | logos+with_example_related_to_exercise,2,AP_C_a769dedb_2,Text,exemple,with_example_related_to_exercise,"Voici un exemple de fonction sans paramètre qui va déplacer le robot de 2 cases vers la droite, puis de 3 cases vers les haut ; à chaque fois qu'on l'appelle :

<code-block>
def deplacement(): #la fonction n'a pas de paramètre, on laisse les parenthèses vides
    droite(2)
    haut(3)
#on arrête l'indentation, on est donc sortie de la fonction.
for k in range(4) #on va répéter 4 fois le déplacement
    deplacement() #pour appeler la fonction il suffit de mettre son nom avec des parenthèse vides dans ton programme.
</code-block>",approved,,,"FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",D-5 : Création d'une fonction
AP_FB_c8fdd59e,exercise | FO_1.1.1.2 | technical+with_example_related_to_exercise,0,AP_C_fef8559d_1,Text,technique,technical,"Pour définir une fonction, utilise le mot-clé <code-inline>def</code-inline> suivi du nom de ta fonction et de parenthèses. N'oublie pas les deux-points après les parenthèses et d'indenter (décalage à droite) toutes les instructions qui composent ta fonction.",approved,,,FO_1.1.1 — Définir une fonction,
AP_FB_c8fdd59e,exercise | FO_1.1.1.2 | technical+with_example_related_to_exercise,1,AP_C_a769dedb_2,Text,exemple,with_example_related_to_exercise,"Voici un exemple de fonction sans paramètre qui va déplacer le robot de 2 cases vers la droite, puis de 3 cases vers les haut ; à chaque fois qu'on l'appelle :

<code-block>
def deplacement(): #la fonction n'a pas de paramètre, on laisse les parenthèses vides
    droite(2)
    haut(3)
#on arrête l'indentation, on est donc sortie de la fonction.
for k in range(4) #on va répéter 4 fois le déplacement
    deplacement() #pour appeler la fonction il suffit de mettre son nom avec des parenthèse vides dans ton programme.
</code-block>",approved,,,"FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",D-5 : Création d'une fonction
AP_FB_6c91c2c5,error_exercise | FO_1.1.1.2 | error_pointed+with_example_related_to_exercise,0,AP_C_6c91c2c5_2,Text,erreur_pointée,error_pointed,"Tu as mis un paramètre quand tu as défini ta fonction, or il n'est pas nécessaire puisque ta fonction réalise systématiquement exactement le même déplacement. Une fonction doit avoir uniquement les paramètres dont elle a besoin pour faire ce que l'on attend d'elle.

Dans le contexte de l'exercice le déplacement est toujours exactement le même, il n'est donc pas nécessaire d'ajouter des paramètres à ta fonction.",approved,FUNCTION_DEFINITION_UNNECESSARY_PARAMETER,"La liste de paramètres de la fonction définie par l'élève contient un paramètre supplémentaire sans contrepartie dans la définition attendue. Ce paramètre est soit inutilisé dans le corps, soit utilisé de manière redondante. Cause typique chez le novice : l'élève ajoute un paramètre « au cas où » ou confond une variable locale avec un paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",D-5 : Création d'une fonction
AP_FB_6c91c2c5,error_exercise | FO_1.1.1.2 | error_pointed+with_example_related_to_exercise,1,AP_C_6c91c2c5_1,Text,exemple,with_example_related_to_exercise,"Voici deux exemples de fonctions, sans et avec paramètre.
<code-block>
def deplacement_identique(): #on ne met pas de paramètre, le déplacement est toujours le même
    droite(2)
    bas(4)
    gauche(3)

def deplacement_param(nbcase):#la longueur d'au moins un déplacement n'est pas toujours le même
    droite(2)
    bas(nbcase) #le déplacement vers le bas sera du nombre de case donné en argument lors de l'appel de la fonction
    gauche(3)
</code-block>",approved,,,"FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",D-5 : Création d'une fonction
AP_FB_30ea5484,error_exercise | FO_1.1.1.2 | error_pointed+logos,0,AP_C_6c91c2c5_2,Text,erreur_pointée,error_pointed,"Tu as mis un paramètre quand tu as défini ta fonction, or il n'est pas nécessaire puisque ta fonction réalise systématiquement exactement le même déplacement. Une fonction doit avoir uniquement les paramètres dont elle a besoin pour faire ce que l'on attend d'elle.

Dans le contexte de l'exercice le déplacement est toujours exactement le même, il n'est donc pas nécessaire d'ajouter des paramètres à ta fonction.",approved,FUNCTION_DEFINITION_UNNECESSARY_PARAMETER,"La liste de paramètres de la fonction définie par l'élève contient un paramètre supplémentaire sans contrepartie dans la définition attendue. Ce paramètre est soit inutilisé dans le corps, soit utilisé de manière redondante. Cause typique chez le novice : l'élève ajoute un paramètre « au cas où » ou confond une variable locale avec un paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",D-5 : Création d'une fonction
AP_FB_30ea5484,error_exercise | FO_1.1.1.2 | error_pointed+logos,1,AP_C_108b5926_1,Text,logos,logos,"Quand tu crées une fonction, tu dois identifier les informations dont elle a besoin pour qu'elle puisse faire ce que tu souhaites. Ce sont les paramètres de la fonction. Tu dois donner un nom à chacun de ces paramètres et les lister dans les parenthèses après le nom de la fonction.",approved,,,"FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_7ab15ae8,error_exercise | FO_1.1.1.2 | error_pointed+with_example_related_to_exercise,1,AP_C_7ab15ae8_1,Text,erreur_pointée,error_pointed,"Ta fonction <code-inline>carre</code-inline> est définie sans paramètre, alors qu'elle devrait en avoir un pour permettre de tracer des carrés de différentes tailles. Le paramètre permet de faire réaliser des tâches ""presque identiques"" à la fonction sans tout réécrire à chaque fois.",approved,FUNCTION_DEFINITION_MISSING_PARAMETER,"La liste de paramètres de la fonction définie par l'élève est incomplète par rapport à la définition attendue — au moins un paramètre requis manque. La fonction existe et son corps peut même référencer une valeur, mais la signature ne l'accepte pas en argument. Cause typique chez le novice : l'élève code en dur une valeur dans le corps de la fonction au lieu de la recevoir en paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",D-6 : Petits et grands
AP_FB_7ab15ae8,error_exercise | FO_1.1.1.2 | error_pointed+with_example_related_to_exercise,2,AP_C_7ab15ae8_2,Text,exemple,with_example_related_to_exercise,"Dans la fonction <code-inline>carre</code-inline> il y a un paramètre n qui permet à la fonction de tracer des carrés de différentes taille. 
<code-block>
def carre(n):
    for k in range(4):
        avancer(n) #on va avancer de la longueur n
        tourner(90)
</code-block>",approved,,,"FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",D-6 : Petits et grands
AP_FB_01e264a0,error | FO_1.1.1.6 | error_pointed,1,AP_C_01e264a0_1,Text,erreur_pointée,error_pointed,"Si ta fonction est définie avec un ou plusieurs paramètres, as-tu vérifié qu'ils sont bien utilisés dans le corps de la fonction ?
Si ta fonction est définie avec un paramètre qui n'est pas utilisé dans son corps, cela n'a pas de sens (soit le paramètre est inutile, soit le corps de ta fonction est incorrect).",approved,FUNCTION_DEFINITION_BODY_ERROR,"Tag parapluie : toute erreur détectée à l'intérieur du corps d'une fonction — ni dans sa liste de paramètres, ni dans son nom. Se déclenche en complément du tag plus spécifique qui décrit l'erreur exacte au niveau du corps (appel manquant, mauvaise constante, opération superflue, etc.). Cause typique chez le novice : tout écart structurel ou de contenu dans les instructions exécutables de la fonction.",FO_1.1.1.6 — Produire le corps d'une fonction,
AP_FB_b2042bf8,error | FO_1.1.1.6 | error_pointed+with_example_unrelated_to_exercise,0,AP_C_01e264a0_1,Text,erreur_pointée,error_pointed,"Si ta fonction est définie avec un ou plusieurs paramètres, as-tu vérifié qu'ils sont bien utilisés dans le corps de la fonction ?
Si ta fonction est définie avec un paramètre qui n'est pas utilisé dans son corps, cela n'a pas de sens (soit le paramètre est inutile, soit le corps de ta fonction est incorrect).",approved,FUNCTION_DEFINITION_BODY_ERROR,"Tag parapluie : toute erreur détectée à l'intérieur du corps d'une fonction — ni dans sa liste de paramètres, ni dans son nom. Se déclenche en complément du tag plus spécifique qui décrit l'erreur exacte au niveau du corps (appel manquant, mauvaise constante, opération superflue, etc.). Cause typique chez le novice : tout écart structurel ou de contenu dans les instructions exécutables de la fonction.",FO_1.1.1.6 — Produire le corps d'une fonction,
AP_FB_b2042bf8,error | FO_1.1.1.6 | error_pointed+with_example_unrelated_to_exercise,1,AP_C_b2042bf8_2,Text,exemple,with_example_unrelated_to_exercise,"Dans cet exemple on définit la fonction avec deux paramètres mais un seul est utilisé dans le corps de la fonction. On veut une fonction qui calcule le produit des deux nombres donnés en paramètre.

<code-block>
def calculer_produit(a,b):
    resultat = a * 2 #au lieu de calculer le produit de a et de b on calcule le double de a, b n'est jamais utilisé dans le corps de la fonction
    return resultat
</code-block>
Au lieu de renvoyer le produit de a et de b cette fonction renvoie le double de a",approved,,,FO_1.1.1.6 — Produire le corps d'une fonction,
AP_FB_aee5e992,error | FO_1.1.1.6 | error_pointed+logos,0,AP_C_aee5e992_2,Text,logos,logos,"Le corps d'une fonction, c'est l'ensemble des instructions qui définissent ce qu'elle fait quand on l'appel. Si une de ces instructions est manquante, en trop ou incorrecte, la fonction ne fera sans doute pas ce que tu attends.",approved,,,FO_1.1.1.6 — Produire le corps d'une fonction,
AP_FB_aee5e992,error | FO_1.1.1.6 | error_pointed+logos,1,AP_C_01e264a0_1,Text,erreur_pointée,error_pointed,"Si ta fonction est définie avec un ou plusieurs paramètres, as-tu vérifié qu'ils sont bien utilisés dans le corps de la fonction ?
Si ta fonction est définie avec un paramètre qui n'est pas utilisé dans son corps, cela n'a pas de sens (soit le paramètre est inutile, soit le corps de ta fonction est incorrect).",approved,FUNCTION_DEFINITION_BODY_ERROR,"Tag parapluie : toute erreur détectée à l'intérieur du corps d'une fonction — ni dans sa liste de paramètres, ni dans son nom. Se déclenche en complément du tag plus spécifique qui décrit l'erreur exacte au niveau du corps (appel manquant, mauvaise constante, opération superflue, etc.). Cause typique chez le novice : tout écart structurel ou de contenu dans les instructions exécutables de la fonction.",FO_1.1.1.6 — Produire le corps d'une fonction,
AP_FB_f0474f24,error | FO_4.2 | error_pointed+technical,0,AP_C_f0474f24_2,Text,erreur_pointée,error_pointed,Tu as défini une fonction mais tu ne l'as jamais utilisée. Une fonction ne sert à rien si on ne l'appelle pas quelque part dans le programme. Pense à l'endroit où tu devrais l'utiliser pour éviter de répéter le même code.,approved,DECLARED_FUNCTION_CALL_MISSING,"Un appel requis à une fonction définie par l'utilisateur est absent du programme de l'élève. La fonction peut être correctement définie, mais l'élève ne l'invoque nulle part alors que la solution attendue le fait. Cause typique chez le novice : l'élève définit une fonction puis réécrit manuellement sa logique à l'endroit où il devrait simplement l'appeler.",FO_4.2 — Appeler une fonction déclarée,
AP_FB_f0474f24,error | FO_4.2 | error_pointed+technical,1,AP_C_d91bb875_1,Text,technique,technical,"Quand tu veux qu'une fonction s'exécute à un endroit donné de ton programme, il faut l'appeler. Pour cela il faut écrire son nom suivi de parenthèses. Si elle est définie avec des paramètres, alors il faut indiquer autant de valeurs dans les parenthèses (les arguments) que de paramètres (en respectant l'ordre indiqué dans le <code-inline>def</code-inline>).",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_d6516e03,error | FO_1.1.1.1 | error_pointed,1,AP_C_d6516e03_1,Text,erreur_pointée,error_pointed,Le nom de ta fonction est différent de celui demandé. Une fonction doit porter exactement le nom indiqué dans l'énoncé pour que le programme puisse l'appeler correctement.,approved,FUNCTION_DEFINITION_NAME_ERROR,"Le nom de la fonction définie par l'élève diffère de celui attendu. La structure de la fonction (paramètres, corps, retour) peut être correcte, mais son identifiant ne correspond pas. Cause typique chez le novice : l'élève lit mal l'énoncé ou utilise un synonyme (par ex. `dessiner` au lieu de `tracer`).",FO_1.1.1.1 — Déterminer le nom d'une fonction,
AP_FB_2b946524,error | FO_1.1.1.1 | error_pointed+with_example_unrelated_to_exercise,0,AP_C_d6516e03_1,Text,erreur_pointée,error_pointed,Le nom de ta fonction est différent de celui demandé. Une fonction doit porter exactement le nom indiqué dans l'énoncé pour que le programme puisse l'appeler correctement.,approved,FUNCTION_DEFINITION_NAME_ERROR,"Le nom de la fonction définie par l'élève diffère de celui attendu. La structure de la fonction (paramètres, corps, retour) peut être correcte, mais son identifiant ne correspond pas. Cause typique chez le novice : l'élève lit mal l'énoncé ou utilise un synonyme (par ex. `dessiner` au lieu de `tracer`).",FO_1.1.1.1 — Déterminer le nom d'une fonction,
AP_FB_2b946524,error | FO_1.1.1.1 | error_pointed+with_example_unrelated_to_exercise,1,AP_C_2b946524_2,Text,exemple,with_example_unrelated_to_exercise,"Voici un exemple sur l'importance du nom de la fonction :
On veut pouvoir appeler une fonction qui doit afficher ""Bonjour"" suivi du prénom donné en argument, et qu'on veut appeler cette fonction en écrivant <code-inline>dire_bonjour(Amine)</code-inline> pour afficher ""Bonjour Amine"".
Alors si on écrit comme code :

<code-block>
def dire_Bonjour(prenom): #note la majuscule à Bonjour
    print(""Bonjour"", prenom)

</code-block>

Alors l'instruction dire_bonjour(Amine) ne va pas fonctionner car la fonction <code-inline>dire_bonjour</code-inline> n'a pas été définie.",approved,,,FO_1.1.1.1 — Déterminer le nom d'une fonction,
AP_FB_e3b9e3e8,error | FO_1.1.1.1 | error_pointed+logos,0,AP_C_e3b9e3e8_2,Text,logos,logos,Le nom d'une fonction permet de l'appeler. Si tu utilises un autre nom que le sien pour l'appeler cela ne va pas fonctionner. Attention il faut que ce soit exactement le même nom (y compris les majuscules par exemple).,approved,,,FO_1.1.1.1 — Déterminer le nom d'une fonction,
AP_FB_e3b9e3e8,error | FO_1.1.1.1 | error_pointed+logos,1,AP_C_d6516e03_1,Text,erreur_pointée,error_pointed,Le nom de ta fonction est différent de celui demandé. Une fonction doit porter exactement le nom indiqué dans l'énoncé pour que le programme puisse l'appeler correctement.,approved,FUNCTION_DEFINITION_NAME_ERROR,"Le nom de la fonction définie par l'élève diffère de celui attendu. La structure de la fonction (paramètres, corps, retour) peut être correcte, mais son identifiant ne correspond pas. Cause typique chez le novice : l'élève lit mal l'énoncé ou utilise un synonyme (par ex. `dessiner` au lieu de `tracer`).",FO_1.1.1.1 — Déterminer le nom d'une fonction,
AP_FB_c325b957,error | FO_1.1.1.2 | error_pointed+with_example_unrelated_to_exercise,1,AP_C_c325b957_1,Text,erreur_pointée,error_pointed,Ta fonction est définie sans paramètre alors qu'elle en a besoin. Regarde ce que tu as écrit entre les parenthèses après le nom de la fonction : c'est là que tu dois indiquer ce qu'elle doit recevoir pour fonctionner.,approved,FUNCTION_DEFINITION_MISSING_PARAMETER,"La liste de paramètres de la fonction définie par l'élève est incomplète par rapport à la définition attendue — au moins un paramètre requis manque. La fonction existe et son corps peut même référencer une valeur, mais la signature ne l'accepte pas en argument. Cause typique chez le novice : l'élève code en dur une valeur dans le corps de la fonction au lieu de la recevoir en paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_c325b957,error | FO_1.1.1.2 | error_pointed+with_example_unrelated_to_exercise,2,AP_C_c325b957_2,Text,exemple,with_example_unrelated_to_exercise,"Regarde comment la même fonction peut faire des choses différentes selon ce que tu lui donnes :

<code-block>
def dire_bonjour(nom):
    print(""Bonjour, "" + nom + "" !"")

dire_bonjour(""Léa"")
dire_bonjour(""Noah"")
</code-block>",approved,FUNCTION_DEFINITION_MISSING_PARAMETER,"La liste de paramètres de la fonction définie par l'élève est incomplète par rapport à la définition attendue — au moins un paramètre requis manque. La fonction existe et son corps peut même référencer une valeur, mais la signature ne l'accepte pas en argument. Cause typique chez le novice : l'élève code en dur une valeur dans le corps de la fonction au lieu de la recevoir en paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_52775f68,error | FO_1.1.1.2 | error_pointed+logos,1,AP_C_52775f68_1,Text,erreur_pointée,error_pointed,"Ta fonction est définie sans le paramètre dont elle a besoin pour fonctionner. Ce qui doit figurer entre les parenthèses de def, c'est justement ce que la fonction va utiliser pour faire son travail.",approved,FUNCTION_DEFINITION_MISSING_PARAMETER,"La liste de paramètres de la fonction définie par l'élève est incomplète par rapport à la définition attendue — au moins un paramètre requis manque. La fonction existe et son corps peut même référencer une valeur, mais la signature ne l'accepte pas en argument. Cause typique chez le novice : l'élève code en dur une valeur dans le corps de la fonction au lieu de la recevoir en paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_52775f68,error | FO_1.1.1.2 | error_pointed+logos,2,AP_C_52775f68_2,Text,logos,logos,"Une fonction est comme une recette : elle a besoin des ingrédients que tu lui donnes pour faire son travail. Les paramètres, ce sont ces ingrédients — ils permettent à la fonction de s'adapter à différentes situations sans tout réécrire.",approved,FUNCTION_DEFINITION_MISSING_PARAMETER,"La liste de paramètres de la fonction définie par l'élève est incomplète par rapport à la définition attendue — au moins un paramètre requis manque. La fonction existe et son corps peut même référencer une valeur, mais la signature ne l'accepte pas en argument. Cause typique chez le novice : l'élève code en dur une valeur dans le corps de la fonction au lieu de la recevoir en paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_ea807364,error | FO_1.1.1.2 | error_pointed+technical,1,AP_C_ea807364_1,Text,erreur_pointée,error_pointed,"Ta fonction est définie sans un paramètre nécessaire. Elle utilise une valeur fixe alors qu'elle devrait la recevoir depuis l'extérieur.

Pense à ce qui doit pouvoir varier chaque fois que tu appelles ta fonction.",approved,FUNCTION_DEFINITION_MISSING_PARAMETER,"La liste de paramètres de la fonction définie par l'élève est incomplète par rapport à la définition attendue — au moins un paramètre requis manque. La fonction existe et son corps peut même référencer une valeur, mais la signature ne l'accepte pas en argument. Cause typique chez le novice : l'élève code en dur une valeur dans le corps de la fonction au lieu de la recevoir en paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_ea807364,error | FO_1.1.1.2 | error_pointed+technical,2,AP_C_ea807364_2,Text,technique,technical,"Pour déclarer un paramètre, écris son nom entre les parenthèses de <code-inline>def</code-inline>, juste après le nom de la fonction. Si tu as plusieurs paramètres, sépare-les par des virgules dans la même liste. Ces noms deviennent des variables utilisables dans le corps de la fonction.",approved,FUNCTION_DEFINITION_MISSING_PARAMETER,"La liste de paramètres de la fonction définie par l'élève est incomplète par rapport à la définition attendue — au moins un paramètre requis manque. La fonction existe et son corps peut même référencer une valeur, mais la signature ne l'accepte pas en argument. Cause typique chez le novice : l'élève code en dur une valeur dans le corps de la fonction au lieu de la recevoir en paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_d26e069e,error | FO_1.1.1.2 | error_pointed,1,AP_C_d26e069e_1,Text,erreur_pointée,error_pointed,Tu as ajouté un paramètre dans ta fonction qui n'existe pas dans la définition attendue. Une fonction ne reçoit que ce qu'on lui passe depuis l'extérieur : tout ce qu'elle calcule ou utilise en interne ne doit pas être un paramètre.,approved,FUNCTION_DEFINITION_UNNECESSARY_PARAMETER,"La liste de paramètres de la fonction définie par l'élève contient un paramètre supplémentaire sans contrepartie dans la définition attendue. Ce paramètre est soit inutilisé dans le corps, soit utilisé de manière redondante. Cause typique chez le novice : l'élève ajoute un paramètre « au cas où » ou confond une variable locale avec un paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_acb623a9,error | FO_1.1.1.2 | error_pointed+with_example_unrelated_to_exercise,1,AP_C_acb623a9_1,Text,erreur_pointée,error_pointed,Tu as ajouté un paramètre dans ta fonction qui n'est pas nécessaire. Une fonction ne doit prendre que les informations dont elle a vraiment besoin pour fonctionner.,approved,FUNCTION_DEFINITION_UNNECESSARY_PARAMETER,"La liste de paramètres de la fonction définie par l'élève contient un paramètre supplémentaire sans contrepartie dans la définition attendue. Ce paramètre est soit inutilisé dans le corps, soit utilisé de manière redondante. Cause typique chez le novice : l'élève ajoute un paramètre « au cas où » ou confond une variable locale avec un paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_acb623a9,error | FO_1.1.1.2 | error_pointed+with_example_unrelated_to_exercise,2,AP_C_acb623a9_2,Text,exemple,with_example_unrelated_to_exercise,"Regarde comment on écrit une fonction qui n'a besoin que d'une seule information pour fonctionner.

<code-block>
def calculer_prix(quantite):
</code-block>",approved,FUNCTION_DEFINITION_UNNECESSARY_PARAMETER,"La liste de paramètres de la fonction définie par l'élève contient un paramètre supplémentaire sans contrepartie dans la définition attendue. Ce paramètre est soit inutilisé dans le corps, soit utilisé de manière redondante. Cause typique chez le novice : l'élève ajoute un paramètre « au cas où » ou confond une variable locale avec un paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_0af76959,error | FO_1.1.1.2 | error_pointed+logos,1,AP_C_0af76959_1,Text,erreur_pointée,error_pointed,Ta fonction a un paramètre en trop : tu en as défini un qui n’apparaît pas dans la signature attendue. Revois ce que ta fonction doit vraiment recevoir de l’extérieur pour faire son travail.,approved,FUNCTION_DEFINITION_UNNECESSARY_PARAMETER,"La liste de paramètres de la fonction définie par l'élève contient un paramètre supplémentaire sans contrepartie dans la définition attendue. Ce paramètre est soit inutilisé dans le corps, soit utilisé de manière redondante. Cause typique chez le novice : l'élève ajoute un paramètre « au cas où » ou confond une variable locale avec un paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_0af76959,error | FO_1.1.1.2 | error_pointed+logos,2,AP_C_0af76959_2,Text,logos,logos,"Une fonction ne demande que ce dont elle a vraiment besoin pour travailler. Chaque paramètre est comme une boîte étiquetée que tu ouvres obligatoirement dans le corps de la fonction : si tu en declares une sans jamais l’utiliser, c’est une boîte vide qui encombre l’entrée.",approved,FUNCTION_DEFINITION_UNNECESSARY_PARAMETER,"La liste de paramètres de la fonction définie par l'élève contient un paramètre supplémentaire sans contrepartie dans la définition attendue. Ce paramètre est soit inutilisé dans le corps, soit utilisé de manière redondante. Cause typique chez le novice : l'élève ajoute un paramètre « au cas où » ou confond une variable locale avec un paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_4d5a65fa,error | FO_1.1.1.2 | error_pointed+technical,1,AP_C_4d5a65fa_1,Text,erreur_pointée,error_pointed,Tu as ajouté un paramètre dans ta fonction qui n'est pas nécessaire. Une fonction ne doit recevoir que les informations dont elle a vraiment besoin pour faire son travail.,approved,FUNCTION_DEFINITION_UNNECESSARY_PARAMETER,"La liste de paramètres de la fonction définie par l'élève contient un paramètre supplémentaire sans contrepartie dans la définition attendue. Ce paramètre est soit inutilisé dans le corps, soit utilisé de manière redondante. Cause typique chez le novice : l'élève ajoute un paramètre « au cas où » ou confond une variable locale avec un paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_4d5a65fa,error | FO_1.1.1.2 | error_pointed+technical,2,AP_C_4d5a65fa_2,Text,technique,technical,"Pour définir les paramètres d'une fonction, regarde ce dont elle a besoin pour fonctionner. Dans la ligne de définition, écris entre les parenthèses <code-inline>def ma_fonction(param1, param2):</code-inline> uniquement les noms des informations que la fonction doit recevoir quand on l'appelle.",approved,FUNCTION_DEFINITION_UNNECESSARY_PARAMETER,"La liste de paramètres de la fonction définie par l'élève contient un paramètre supplémentaire sans contrepartie dans la définition attendue. Ce paramètre est soit inutilisé dans le corps, soit utilisé de manière redondante. Cause typique chez le novice : l'élève ajoute un paramètre « au cas où » ou confond une variable locale avec un paramètre.","FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",
AP_FB_a639d3cc,error | FO_1.1.1.4 | error_pointed,1,AP_C_a639d3cc_1,Text,erreur_pointée,error_pointed,"Ta fonction fait tout le travail mais oublie de donner le résultat avec return. Ce qui compte, c'est ce que la fonction rapporte à celui qui l'appelle, pas juste ce qu'elle fait en interne.",approved,FUNCTION_DEFINITION_MISSING_RETURN,"La définition de fonction de l'élève ne contient pas l'instruction `return` attendue. La fonction calcule éventuellement une valeur mais ne la renvoie pas, laissant l'appelant sans résultat exploitable. Cause typique chez le novice : l'élève affiche la valeur au lieu de la retourner, ou omet complètement le `return`.","FO_1.1.1.4 — Déterminer, le cas échéant, les éléments à retourner par une fonction",
AP_FB_15b7645b,error | FO_1.1.1.4 | error_pointed+with_example_unrelated_to_exercise,1,AP_C_15b7645b_1,Text,erreur_pointée,error_pointed,"Tu as confondu deux choses : afficher un résultat avec print et le renvoyer avec return. Une fonction doit donner sa réponse à celui qui l'appelle, pas juste la montrer à l'écran.

Repense à la différence entre ce qu'une fonction montre et ce qu'elle rapporte.",approved,FUNCTION_DEFINITION_MISSING_RETURN,"La définition de fonction de l'élève ne contient pas l'instruction `return` attendue. La fonction calcule éventuellement une valeur mais ne la renvoie pas, laissant l'appelant sans résultat exploitable. Cause typique chez le novice : l'élève affiche la valeur au lieu de la retourner, ou omet complètement le `return`.","FO_1.1.1.4 — Déterminer, le cas échéant, les éléments à retourner par une fonction",
AP_FB_15b7645b,error | FO_1.1.1.4 | error_pointed+with_example_unrelated_to_exercise,2,AP_C_15b7645b_2,Text,exemple,with_example_unrelated_to_exercise,"Voici comment la valeur renvoyée par une fonction peut être réutilisée dans la suite du programme.

<code-block>
def calculer_prix(quantite):
    return quantite * 2.5

total = calculer_prix(3) + 1.5
print(total)
</code-block>",approved,FUNCTION_DEFINITION_MISSING_RETURN,"La définition de fonction de l'élève ne contient pas l'instruction `return` attendue. La fonction calcule éventuellement une valeur mais ne la renvoie pas, laissant l'appelant sans résultat exploitable. Cause typique chez le novice : l'élève affiche la valeur au lieu de la retourner, ou omet complètement le `return`.","FO_1.1.1.4 — Déterminer, le cas échéant, les éléments à retourner par une fonction",
AP_FB_941c2ce3,error | FO_1.1.1.4 | error_pointed+logos,1,AP_C_941c2ce3_1,Text,erreur_pointée,error_pointed,"Ta fonction ne renvoie rien alors qu’elle devrait transmettre un résultat. Afficher une valeur avec print à l’intérieur d’une fonction et la retourner avec return, ce n’est pas la même chose : l’un montre le résultat à l’écran, l’autre le donne à celui qui appelle la fonction.",approved,FUNCTION_DEFINITION_MISSING_RETURN,"La définition de fonction de l'élève ne contient pas l'instruction `return` attendue. La fonction calcule éventuellement une valeur mais ne la renvoie pas, laissant l'appelant sans résultat exploitable. Cause typique chez le novice : l'élève affiche la valeur au lieu de la retourner, ou omet complètement le `return`.","FO_1.1.1.4 — Déterminer, le cas échéant, les éléments à retourner par une fonction",
AP_FB_941c2ce3,error | FO_1.1.1.4 | error_pointed+logos,2,AP_C_941c2ce3_2,Text,logos,logos,"Une fonction, c'est comme une petite usine : elle prend des éléments, fait un travail, et doit donner quelque chose en échange pour que le reste du programme puisse l'utiliser. Sans ce retour, ce qu'elle produit reste enfermé à l'intérieur, invisible et inutile.",approved,FUNCTION_DEFINITION_MISSING_RETURN,"La définition de fonction de l'élève ne contient pas l'instruction `return` attendue. La fonction calcule éventuellement une valeur mais ne la renvoie pas, laissant l'appelant sans résultat exploitable. Cause typique chez le novice : l'élève affiche la valeur au lieu de la retourner, ou omet complètement le `return`.","FO_1.1.1.4 — Déterminer, le cas échéant, les éléments à retourner par une fonction",
